id,name,contained_in,is_leaf
B2-9B1,Waschmittel,"['B2-9', 'B2-9B']",True
B2-9B2,Weichspüler,"['B2-9', 'B2-9B']",True
B2-9B3,Flecken- & Vorwaschmittel,"['B2-9', 'B2-9B']",True
B2-9B4,Pflege,"['B2-9', 'B2-9B']",True
B2-A,Haustier,[],False
B2-A3,Nager,['B2-A'],True
B2-A4,Vögel,['B2-A'],True
B2-A1,Hunde,['B2-A'],False
B2-A11,Nassfutter,"['B2-A', 'B2-A1']",True
B2-A12,Trockenfutter,"['B2-A', 'B2-A1']",True
B2-A13,Hunde Snacks,"['B2-A', 'B2-A1']",True
B2-A2,Katzen,['B2-A'],False
B2-A21,Nassfutter,"['B2-A', 'B2-A2']",True
B2-A22,Trockenfutter,"['B2-A', 'B2-A2']",True
B2-A23,Katzenstreu,"['B2-A', 'B2-A2']",True
B2-A24,Katzen Snacks,"['B2-A', 'B2-A2']",True
B2-A25,Katzenzubehör,"['B2-A', 'B2-A2']",True
B2-E,Geschenkideen,[],False
B2-E2,Geschenksideen,['B2-E'],False
B2-E20,Sekt & Champagner,"['B2-E', 'B2-E2']",True
B2-E21,Bonbonniere,"['B2-E', 'B2-E2']",True
B2-E24,Spirituosen,"['B2-E', 'B2-E2']",True
